TIMESTAMP,EVENT,BET_NUMBER,BET,CONDITION,RESULT,COIN,MESSAGE
2026-05-14 15:44:00.89,SESSION_START,,,,,,
2026-05-14 15:44:00.89,START_METRICS,,,EQUAL,,,
